year,month,district,PM25,resid,평균풍속(m/s),월강수량합(mm),EV,대여건수,car,녹지 면적 합계,공원율,oil_use,bus_traffic,subway_traffic,제조업 사업체수,현년.전기사용량,현년.가스사용량,현년.수도사용량,현년.탄소,construction_waste_emissions,construction_waste_recycling,trash_emissions,trash_recycling,garbage_emissions,garbage_recycling,designated_waste_emissions,designated_waste_recycling
2017,3,구로구,36.973118279569896,-1.608485025189739,1.9,7.0,1506,0.0,24.16,13495.0,15.86,20735,427349,200358,3729,54051150,5351861,1987198,35565604,35315.2,0.9432935393258427,6463.5,0.3462829736211031,3171.3,1.0,6463.5,0.3462829736211031
2017,3,금천구,42.12096774193548,4.761565926132324,1.7,6.0,866,0.0,23.98,17785.0,16.94,7947,234878,41503,5412,44523666,3084590,885178,26081392,36437.4,0.9384890250127615,5648.2,0.605927552140505,1847.6,1.0,5648.2,0.605927552140505
2017,3,노원구,37.530913978494624,1.4726410083806758,1.3,9.5,1696,0.0,24.86,26282.0,40.46,12911,250782,207319,848,69417978,6303340,3197345,44614223,35367.9,0.9953545446577263,8618.0,0.612589928057554,4299.7,1.0,8618.0,0.612589928057554
2017,3,도봉구,34.28024193548387,-0.83376040019908,1.4,9.0,899,0.0,22.49,7420.0,48.79,9693,185327,76482,1090,34134354,5553524,1112729,27282292,11997.0,0.9537467700258399,5000.3,0.5585864848109113,2551.3,1.0,5000.3,0.5585864848109113
2017,3,동대문구,34.17002688172043,0.5698466329796189,1.8,10.5,1014,11571.0,24.5,16864.0,8.97,13297,395067,93415,3539,38768502,4125774,1537730,26190108,34468.9,0.9916359384836765,9941.7,0.6510757717492984,3155.8,1.0,9941.7,0.6510757717492984
2017,3,동작구,37.141129032258064,0.3096878838484705,1.4500000000000002,8.0,1549,280.0,27.7,5242.0,28.04,8374,337583,279908,651,49289088,6668908,1154827,36220328,29744.5,0.9776967170401251,5502.5,0.4890140845070423,2836.5,1.0,5502.5,0.4890140845070423
2017,3,마포구,49.20166335149471,7.177116327178654,2.7,7.5,1602,39303.0,25.69,20891.0,18.61,8141,464789,339933,1336,50100880,5807975,1419460,34723901,44271.1,0.989006372102794,10192.8,0.5970194647201947,3375.9,1.0,10192.8,0.5970194647201947
2017,3,서대문구,36.95295698924731,-0.6426444198362813,1.4,8.0,1092,14523.0,24.14,5264.0,29.14,11124,357302,52844,754,34872961,3108841,964815,22070258,35042.4,0.9918612880396319,6863.4,0.466576332429991,2383.9,1.0,6863.4,0.466576332429991
2017,3,서초구,43.71975806451613,4.583494474727959,1.7,11.5,2873,12.0,27.47,8173.0,33.8,35883,440291,318021,1064,124378771,5104587,1596519,64700916,65617.7,0.9791184390796995,12173.7,0.5757575757575758,5549.0,1.0,12173.7,0.5757575757575758
2017,3,성동구,45.831989247311824,5.380197743854262,2.2,10.0,1266,16989.0,26.11,9994.0,18.4,13661,140191,161888,4612,39458334,3849238,1016976,25690263,56857.1,0.7342020609563273,5270.0,0.481764705882353,2656.7,1.0,5270.0,0.481764705882353
2017,3,성북구,43.05443548387097,7.18368147476587,1.5,8.0,1447,0.0,25.36,16074.0,33.93,14779,415611,146695,2424,54964117,6951667,1965666,39529123,25370.4,0.9930351906158358,7753.1,0.570171931227509,2957.4,1.0,7753.1,0.570171931227509
2017,3,송파구,40.986559139784944,6.009272813783593,1.7,11.5,3499,0.0,25.1,27109.0,13.12,48900,340947,297200,1487,109937845,6706310,2455305,62450941,102008.6,0.9706132620190846,11209.6,0.5024889380530974,5849.7,1.0,11209.6,0.5024889380530974
2017,3,양천구,43.49731182795699,2.963704195741445,1.3,7.0,1885,2872.0,26.55,13251.0,16.72,20426,229018,83151,1190,62517113,3090884,1365117,33884056,26105.1,0.9957249732810831,5797.0,0.45882352941176474,3360.4,1.0,5797.0,0.45882352941176474
2017,3,영등포구,37.95228494623656,0.7085881663186926,1.75,8.25,1780,30229.0,24.77,9374.0,12.6,35087,494366,211861,4186,80023022,5041290,1500676,45720478,81554.8,0.988026455830926,5772.2,0.4065520945220193,4789.5,1.0,5772.2,0.4065520945220193
2017,3,용산구,35.34274193548387,-4.015134238639659,1.6,9.5,1033,6557.0,27.88,29596.0,8.2,60146,281445,108828,1054,27212981,2658217,664854,17713444,39962.1,0.9806066247769761,5821.8,0.4861554845580405,2321.9,1.0,5821.8,0.4861554845580405
2017,3,은평구,36.081989247311824,0.7659023584480036,0.8,9.0,1512,7768.0,22.42,20240.0,47.12,10976,364319,181942,957,37312831,7564197,1364500,33217457,61733.4,0.9950286230792407,7219.9,0.41477028767711466,2687.7,1.0,7219.9,0.41477028767711466
2017,3,종로구,39.97110215053763,3.479831625754332,2.4,7.9,750,24112.0,23.66,14248.0,48.38,4508,254873,368324,4450,19222285,1875250,340070,12463713,14895.5,0.9796045785639959,8360.7,0.45346681497960695,3267.4,1.0,8360.7,0.45346681497960695
2017,3,중구,37.88978494623656,2.184105088714457,2.2,6.0,615,9648.0,19.91,74363.0,31.45,34245,265947,443604,9947,66763495,3440422,872447,36303922,23742.9,0.948165556861209,10496.6,0.34849379799173064,3329.4,1.0,10496.6,0.34849379799173064
2017,3,중랑구,38.23521505376344,0.7041983622198339,1.9,11.0,910,15.0,23.54,11504.0,28.15,10422,286320,92366,3578,25157964,3092189,833677,17870261,44339.3,0.9953156680416695,8388.6,0.6385809312638581,2811.7,1.0,8388.6,0.6385809312638581
2017,4,강남구,24.69236111111111,0.3575219003930502,1.8,57.0,3655,0.0,25.4,16918.0,16.69,84262,466472,526236,1707,99543876,4311973,2313453,52633485,52629.0,0.9647152710482814,13395.0,0.47704367301231804,7854.0,1.0,13395.0,0.47704367301231804
2017,4,강동구,27.948611111111116,2.989581813326622,1.4,57.0,2032,441.0,24.6,15271.0,13.76,13541,140054,151716,1566,35676011,4303820,2005246,25432929,57429.0,0.986626965470407,7815.0,0.634548944337812,3435.0,1.0,7815.0,0.634548944337812
2017,4,강북구,22.6125,1.4917999247869758,2.3,64.5,709,0.0,20.95,33009.0,60.75,8274,393847,101293,1541,26087256,3595756,1033795,19458711,20496.0,0.9980971896955504,4383.0,0.5126625598904859,2364.0,1.0,4383.0,0.5126625598904859
2017,4,강서구,25.132638888888888,2.1310934076975503,2.0,48.5,2377,259.0,24.58,11367.0,10.45,118930,239978,225721,1258,50273877,4340868,1670385,31594231,81633.0,0.8936827018485172,8856.0,0.5450542005420054,5055.0,1.0,8856.0,0.5450542005420054
2017,4,관악구,27.15763888888889,0.503092717611093,1.95,63.5,1419,0.0,25.9,7419.0,37.12,8563,491767,183402,1350,40418801,4571684,1483660,27870722,31827.0,0.9905740409086624,7548.0,0.48171701112877585,3306.0,1.0,7548.0,0.48171701112877585
2017,4,광진구,25.247916666666665,0.1905645456797619,1.8,57.0,1114,20057.0,25.71,9045.0,19.69,16145,148183,239176,1853,33019936,2487854,1325403,20013281,22482.0,0.989191353082466,6603.0,0.6369831894593366,2973.0,1.0,6603.0,0.6369831894593366
2017,4,구로구,25.64583333333333,-0.4989439070314018,2.4,52.0,1545,0.0,23.61,13495.0,15.86,22463,422174,196448,3729,50906905,3630607,1967911,30370428,34176.0,0.9432935393258427,6255.0,0.3462829736211031,3069.0,1.0,6255.0,0.3462829736211031
